Passenger_ID,Gender,Travel_Class,Frequent_Flyer,Age,Flight_Status,Flight_Duration_Hrs,Feedback,Service_Area,Sentiment
2275,Male,Premium Economy,No,57.67,On Time,2.0,Unhappy with how luggage was handled.,Boarding,0
2276,Male,Premium Economy,Yes,27.52,Delayed,1.2,Everything was perfect!,Luggage Handling,1
2277,Female,Premium Economy,No,53.35,On Time,11.1,"Nothing special, average service.",Ground Service,0
2278,Male,Business,Yes,35.45,On Time,7.8,Service was decent but food could be better.,Luggage Handling,0
2279,Female,Premium Economy,No,22.64,Cancelled,7.1,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2280,Female,Economy,Yes,36.47,Delayed,14.9,Boarding was chaotic and unorganized.,Luggage Handling,0
2281,Male,Economy,Yes,56.7,Delayed,2.2,Very courteous staff and smooth check-in process.,Boarding,1
2282,Female,Business,No,33.97,Delayed,10.0,Service was decent but food could be better.,Ground Service,0
2283,Male,Economy,Yes,58.98,Cancelled,6.8,Unhappy with how luggage was handled.,Boarding,0
2284,Male,Business,Yes,35.23,On Time,7.4,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2285,Female,Premium Economy,No,31.55,On Time,12.0,Everything was perfect!,Customer Support,1
2286,Female,Business,No,33.29,On Time,9.5,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2287,Male,Business,No,62.26,On Time,7.0,Flight was delayed and no proper updates.,Customer Support,0
2288,Male,Premium Economy,No,42.47,On Time,3.5,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2289,Male,Premium Economy,No,63.05,On Time,8.1,Everything was perfect!,Customer Support,1
2290,Male,Economy,No,48.35,Delayed,8.7,Very courteous staff and smooth check-in process.,Check-in,1
2291,Female,Premium Economy,Yes,67.1,On Time,7.3,Service was decent but food could be better.,Customer Support,0
2292,Female,Business,No,21.7,Delayed,6.0,Unhappy with how luggage was handled.,Ground Service,0
2293,Male,Business,Yes,64.25,Cancelled,3.6,Really impressed with the cleanliness and hospitality.,Luggage Handling,1
2294,Female,Premium Economy,Yes,44.02,Delayed,9.5,Flight was delayed and no proper updates.,Check-in,0
2295,Female,Premium Economy,No,63.11,Delayed,9.1,Everything was perfect!,Check-in,1
2296,Male,Business,No,37.85,Cancelled,12.9,Very courteous staff and smooth check-in process.,Luggage Handling,1
2297,Male,Economy,No,33.51,Delayed,4.3,"Nothing special, average service.",Customer Support,0
2298,Male,Premium Economy,Yes,20.81,On Time,8.0,Service was decent but food could be better.,Ground Service,0
2299,Female,Business,Yes,62.42,On Time,6.8,Very courteous staff and smooth check-in process.,Ground Service,1
2300,Female,Business,No,25.14,Cancelled,8.6,Really impressed with the cleanliness and hospitality.,Check-in,1
2301,Female,Business,Yes,28.42,Delayed,6.1,Very courteous staff and smooth check-in process.,Check-in,1
2302,Female,Business,No,39.28,Cancelled,14.7,Unhappy with how luggage was handled.,In-flight Service,0
2303,Female,Business,No,47.61,Cancelled,9.0,"Seats were cramped, not comfortable.",Ground Service,0
2304,Male,Business,No,65.14,On Time,10.9,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2305,Male,Premium Economy,Yes,41.79,On Time,2.6,Unhappy with how luggage was handled.,Boarding,0
2306,Male,Premium Economy,No,34.45,On Time,7.7,Everything was perfect!,In-flight Service,1
2307,Female,Premium Economy,Yes,55.21,On Time,10.7,"Nothing special, average service.",Luggage Handling,0
2308,Female,Premium Economy,Yes,58.5,Cancelled,3.0,Service was decent but food could be better.,Customer Support,0
2309,Female,Premium Economy,No,43.35,Delayed,11.2,Boarding was chaotic and unorganized.,Check-in,0
2310,Female,Economy,No,50.81,On Time,14.8,Unhappy with how luggage was handled.,In-flight Service,0
2311,Male,Economy,No,27.19,Delayed,14.8,Very courteous staff and smooth check-in process.,Ground Service,1
2312,Male,Business,No,50.99,Cancelled,11.9,Boarding was chaotic and unorganized.,In-flight Service,0
2313,Male,Premium Economy,No,18.25,On Time,7.5,"Nothing special, average service.",Ground Service,0
2314,Female,Economy,Yes,32.22,On Time,2.1,Really impressed with the cleanliness and hospitality.,Boarding,1
2315,Female,Economy,No,57.58,On Time,13.5,Unhappy with how luggage was handled.,In-flight Service,0
2316,Male,Economy,No,26.77,Delayed,2.2,Very courteous staff and smooth check-in process.,Check-in,1
2317,Female,Business,No,57.75,Cancelled,7.6,"Nothing special, average service.",Luggage Handling,0
2318,Male,Economy,Yes,43.46,On Time,11.4,Really impressed with the cleanliness and hospitality.,Boarding,1
2319,Female,Business,No,57.71,On Time,14.4,"Nothing special, average service.",Boarding,0
2320,Female,Business,No,22.58,On Time,2.1,Flight was delayed and no proper updates.,Check-in,0
2321,Female,Business,Yes,49.95,Delayed,9.9,"Seats were cramped, not comfortable.",Ground Service,0
2322,Female,Economy,No,50.94,On Time,12.2,"Seats were cramped, not comfortable.",In-flight Service,0
2323,Female,Premium Economy,Yes,38.98,Cancelled,5.4,Really impressed with the cleanliness and hospitality.,Ground Service,1
2324,Male,Business,No,68.2,On Time,1.7,Flight was delayed and no proper updates.,Check-in,0
2325,Female,Economy,No,37.93,Delayed,5.8,Very courteous staff and smooth check-in process.,In-flight Service,1
2326,Male,Premium Economy,Yes,19.96,Cancelled,11.9,Flight was delayed and no proper updates.,Check-in,0
2327,Female,Economy,No,28.37,On Time,7.6,Everything was perfect!,Luggage Handling,1
2328,Female,Business,No,37.4,Delayed,8.2,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2329,Female,Business,Yes,18.73,Cancelled,7.6,Service was decent but food could be better.,Luggage Handling,0
2330,Female,Business,Yes,34.76,Delayed,11.3,Very courteous staff and smooth check-in process.,Boarding,1
2331,Male,Economy,Yes,61.33,On Time,6.9,Everything was perfect!,Luggage Handling,1
2332,Female,Premium Economy,No,27.91,Delayed,14.4,Really impressed with the cleanliness and hospitality.,Boarding,1
2333,Male,Premium Economy,No,53.19,Cancelled,12.2,Service was decent but food could be better.,Boarding,0
2334,Female,Business,No,50.59,Cancelled,5.0,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2335,Female,Economy,No,30.94,On Time,1.5,Very courteous staff and smooth check-in process.,In-flight Service,1
2336,Male,Premium Economy,Yes,54.06,Delayed,13.9,"Seats were cramped, not comfortable.",In-flight Service,0
2337,Female,Economy,Yes,35.91,Delayed,11.5,"Seats were cramped, not comfortable.",Ground Service,0
2338,Male,Business,No,24.7,Delayed,11.2,Service was decent but food could be better.,Customer Support,0
2339,Male,Premium Economy,No,37.94,Delayed,8.9,Everything was perfect!,In-flight Service,1
2340,Female,Premium Economy,No,48.61,Delayed,1.9,Very courteous staff and smooth check-in process.,In-flight Service,1
2341,Male,Economy,Yes,26.69,Delayed,7.6,"Nothing special, average service.",Customer Support,0
2342,Male,Business,Yes,60.84,On Time,3.4,Very courteous staff and smooth check-in process.,Check-in,1
2343,Male,Premium Economy,Yes,33.51,Delayed,1.7,Really impressed with the cleanliness and hospitality.,Ground Service,1
2344,Male,Business,Yes,33.12,Delayed,14.9,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2345,Female,Premium Economy,No,55.85,Cancelled,12.3,"Seats were cramped, not comfortable.",In-flight Service,0
2346,Female,Business,Yes,49.01,Delayed,9.7,"Seats were cramped, not comfortable.",Luggage Handling,0
2347,Male,Business,No,35.57,Delayed,5.0,Service was decent but food could be better.,Boarding,0
2348,Female,Premium Economy,Yes,64.17,On Time,2.2,Everything was perfect!,Ground Service,1
2349,Male,Economy,Yes,69.76,On Time,8.1,Really impressed with the cleanliness and hospitality.,Check-in,1
2350,Female,Premium Economy,Yes,35.82,On Time,12.9,"Seats were cramped, not comfortable.",In-flight Service,0
2351,Female,Premium Economy,Yes,64.87,Cancelled,4.9,Everything was perfect!,Luggage Handling,1
2352,Female,Business,Yes,36.68,Cancelled,2.9,Boarding was chaotic and unorganized.,Ground Service,0
2353,Male,Business,Yes,27.8,Delayed,4.9,Very courteous staff and smooth check-in process.,Boarding,1
2354,Female,Business,Yes,67.3,Delayed,13.0,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2355,Male,Economy,No,65.75,On Time,1.2,Everything was perfect!,In-flight Service,1
2356,Female,Economy,Yes,38.98,Cancelled,2.6,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2357,Male,Premium Economy,Yes,29.88,Cancelled,3.4,Really impressed with the cleanliness and hospitality.,Luggage Handling,1
2358,Male,Business,No,55.81,Delayed,9.3,Everything was perfect!,Customer Support,1
2359,Male,Premium Economy,Yes,24.82,On Time,3.1,Boarding was chaotic and unorganized.,Boarding,0
2360,Female,Economy,No,56.17,Delayed,7.3,Very courteous staff and smooth check-in process.,Check-in,1
2361,Male,Business,No,48.66,On Time,12.3,Flight was delayed and no proper updates.,Customer Support,0
2362,Female,Business,No,26.79,On Time,4.7,Really impressed with the cleanliness and hospitality.,Luggage Handling,1
2363,Female,Economy,Yes,37.06,On Time,10.8,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2364,Male,Business,No,51.83,Delayed,7.8,Boarding was chaotic and unorganized.,Ground Service,0
2365,Female,Economy,Yes,19.94,Delayed,12.2,Unhappy with how luggage was handled.,Ground Service,0
2366,Male,Business,Yes,63.58,Delayed,13.1,"Seats were cramped, not comfortable.",In-flight Service,0
2367,Female,Economy,Yes,31.3,Delayed,5.8,"Seats were cramped, not comfortable.",Boarding,0
2368,Male,Premium Economy,No,45.81,On Time,2.2,Unhappy with how luggage was handled.,In-flight Service,0
2369,Female,Business,No,20.53,Cancelled,3.0,Boarding was chaotic and unorganized.,Luggage Handling,0
2370,Female,Economy,Yes,69.72,Delayed,14.1,"Nothing special, average service.",Ground Service,0
2371,Female,Premium Economy,Yes,52.42,Delayed,3.2,Everything was perfect!,Boarding,1
2372,Female,Premium Economy,Yes,51.99,On Time,7.9,Boarding was chaotic and unorganized.,Boarding,0
2373,Female,Economy,No,19.03,Delayed,14.9,Boarding was chaotic and unorganized.,Ground Service,0
2374,Male,Economy,Yes,53.87,On Time,11.8,Service was decent but food could be better.,Check-in,0
2375,Male,Premium Economy,Yes,39.67,Cancelled,4.3,Everything was perfect!,Luggage Handling,1
2376,Female,Economy,No,37.77,Cancelled,7.2,Service was decent but food could be better.,Check-in,0
2377,Male,Business,Yes,46.46,Cancelled,9.9,"Seats were cramped, not comfortable.",Ground Service,0
2378,Male,Premium Economy,No,42.67,Cancelled,4.0,Everything was perfect!,Luggage Handling,1
2379,Female,Economy,Yes,25.96,On Time,11.3,Flight was delayed and no proper updates.,In-flight Service,0
2380,Female,Business,No,54.15,Cancelled,5.8,"Nothing special, average service.",Ground Service,0
2381,Male,Business,Yes,50.78,Cancelled,10.0,Flight was delayed and no proper updates.,Check-in,0
2382,Male,Premium Economy,No,33.66,Delayed,11.6,Unhappy with how luggage was handled.,Customer Support,0
2383,Male,Business,No,52.41,Cancelled,2.6,Service was decent but food could be better.,Luggage Handling,0
2384,Male,Economy,Yes,52.45,On Time,3.3,Very courteous staff and smooth check-in process.,Ground Service,1
2385,Male,Economy,Yes,32.04,On Time,6.6,"Seats were cramped, not comfortable.",Customer Support,0
2386,Male,Business,No,49.49,Delayed,5.2,"Seats were cramped, not comfortable.",Luggage Handling,0
2387,Male,Business,Yes,25.13,Delayed,11.4,Boarding was chaotic and unorganized.,In-flight Service,0
2388,Female,Economy,Yes,61.19,On Time,11.5,Very courteous staff and smooth check-in process.,Ground Service,1
2389,Female,Business,Yes,23.46,Delayed,8.5,Service was decent but food could be better.,Check-in,0
2390,Female,Premium Economy,Yes,55.38,On Time,6.3,"Nothing special, average service.",Check-in,0
2391,Female,Economy,No,24.12,On Time,10.9,Very courteous staff and smooth check-in process.,In-flight Service,1
2392,Male,Economy,No,23.93,On Time,7.6,Flight was delayed and no proper updates.,Boarding,0
2393,Female,Economy,No,23.53,Delayed,3.0,Boarding was chaotic and unorganized.,Luggage Handling,0
2394,Male,Business,No,28.33,On Time,13.2,Flight was delayed and no proper updates.,In-flight Service,0
2395,Male,Premium Economy,No,28.39,On Time,1.2,Very courteous staff and smooth check-in process.,Boarding,1
2396,Male,Business,No,31.68,On Time,14.0,Really impressed with the cleanliness and hospitality.,Customer Support,1
2397,Female,Premium Economy,Yes,45.2,Cancelled,7.3,Boarding was chaotic and unorganized.,Customer Support,0
2398,Female,Economy,No,28.49,Cancelled,10.5,Everything was perfect!,Check-in,1
2399,Male,Economy,No,54.58,On Time,14.5,Boarding was chaotic and unorganized.,Ground Service,0
2400,Male,Economy,No,33.36,On Time,10.6,Flight was delayed and no proper updates.,Ground Service,0
2401,Male,Economy,No,20.05,Delayed,1.6,Unhappy with how luggage was handled.,Customer Support,0
2402,Male,Premium Economy,Yes,43.81,Delayed,13.8,Everything was perfect!,Luggage Handling,1
2403,Female,Business,No,28.8,On Time,9.9,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2404,Female,Premium Economy,Yes,66.52,Cancelled,14.4,Boarding was chaotic and unorganized.,Luggage Handling,0
2405,Male,Economy,Yes,35.19,Cancelled,7.0,Really impressed with the cleanliness and hospitality.,Luggage Handling,1
2406,Male,Business,Yes,18.14,Delayed,13.9,Everything was perfect!,Customer Support,1
2407,Female,Premium Economy,Yes,52.92,Cancelled,13.0,Really impressed with the cleanliness and hospitality.,Boarding,1
2408,Female,Economy,Yes,65.16,On Time,5.7,Boarding was chaotic and unorganized.,Ground Service,0
2409,Male,Premium Economy,No,61.43,Cancelled,4.7,Really impressed with the cleanliness and hospitality.,Boarding,1
2410,Female,Economy,No,52.79,Cancelled,2.4,Unhappy with how luggage was handled.,Customer Support,0
2411,Female,Economy,Yes,25.76,On Time,10.2,Service was decent but food could be better.,Boarding,0
2412,Female,Premium Economy,Yes,22.68,Cancelled,6.5,"Nothing special, average service.",Check-in,0
2413,Male,Premium Economy,Yes,44.61,On Time,11.8,Flight was delayed and no proper updates.,In-flight Service,0
2414,Male,Economy,Yes,55.63,Delayed,11.5,Boarding was chaotic and unorganized.,Check-in,0
2415,Male,Premium Economy,No,23.27,On Time,11.3,Flight was delayed and no proper updates.,Luggage Handling,0
2416,Male,Premium Economy,No,31.31,Cancelled,9.2,Everything was perfect!,In-flight Service,1
2417,Male,Economy,No,30.02,Cancelled,3.7,"Seats were cramped, not comfortable.",Ground Service,0
2418,Female,Business,No,69.41,Cancelled,5.7,Everything was perfect!,In-flight Service,1
2419,Male,Economy,No,33.39,On Time,10.7,Everything was perfect!,Ground Service,1
2420,Male,Premium Economy,Yes,42.14,Cancelled,3.5,Flight was delayed and no proper updates.,Ground Service,0
2421,Female,Premium Economy,Yes,23.19,On Time,8.7,Boarding was chaotic and unorganized.,Boarding,0
2422,Male,Business,Yes,27.08,Cancelled,10.4,Flight was delayed and no proper updates.,Ground Service,0
2423,Female,Premium Economy,Yes,20.05,Delayed,12.6,Boarding was chaotic and unorganized.,Luggage Handling,0
2424,Male,Premium Economy,Yes,33.11,Cancelled,1.2,Service was decent but food could be better.,Customer Support,0
2425,Male,Premium Economy,Yes,59.68,On Time,2.4,"Fantastic experience, loved the in-flight entertainment!",Ground Service,1
2426,Female,Premium Economy,Yes,34.26,Delayed,2.5,Everything was perfect!,Luggage Handling,1
2427,Male,Business,Yes,56.4,Cancelled,7.2,Service was decent but food could be better.,Ground Service,0
2428,Female,Economy,No,22.94,Delayed,4.1,Service was decent but food could be better.,Ground Service,0
2429,Female,Economy,No,57.43,Cancelled,5.0,Everything was perfect!,Customer Support,1
2430,Male,Business,No,20.39,Delayed,3.7,Boarding was chaotic and unorganized.,Check-in,0
2431,Male,Premium Economy,Yes,62.3,Cancelled,1.3,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2432,Male,Business,No,52.49,On Time,2.3,Everything was perfect!,In-flight Service,1
2433,Female,Premium Economy,Yes,26.87,On Time,14.1,Unhappy with how luggage was handled.,In-flight Service,0
2434,Female,Business,No,36.59,Delayed,10.2,Very courteous staff and smooth check-in process.,Ground Service,1
2435,Male,Business,Yes,40.76,On Time,12.7,"Fantastic experience, loved the in-flight entertainment!",Ground Service,1
2436,Male,Economy,Yes,50.33,Cancelled,14.3,Everything was perfect!,Boarding,1
2437,Female,Economy,Yes,63.68,Delayed,9.9,Everything was perfect!,Luggage Handling,1
2438,Male,Premium Economy,No,22.83,On Time,10.9,Boarding was chaotic and unorganized.,In-flight Service,0
2439,Female,Business,Yes,60.38,Delayed,2.7,Very courteous staff and smooth check-in process.,In-flight Service,1
2440,Female,Economy,Yes,27.51,On Time,13.0,Very courteous staff and smooth check-in process.,Ground Service,1
2441,Female,Business,No,38.84,Cancelled,2.8,Everything was perfect!,Ground Service,1
2442,Female,Premium Economy,Yes,68.04,Cancelled,10.2,Unhappy with how luggage was handled.,Customer Support,0
2443,Female,Business,Yes,32.14,On Time,13.6,Everything was perfect!,Luggage Handling,1
2444,Female,Premium Economy,No,38.06,On Time,8.9,Everything was perfect!,Check-in,1
2445,Female,Business,No,62.23,Delayed,14.5,Everything was perfect!,Boarding,1
2446,Female,Economy,No,59.59,On Time,13.5,Really impressed with the cleanliness and hospitality.,Ground Service,1
2447,Female,Business,Yes,51.74,On Time,10.7,"Nothing special, average service.",In-flight Service,0
2448,Female,Premium Economy,Yes,59.44,On Time,4.5,Flight was delayed and no proper updates.,Customer Support,0
2449,Female,Economy,No,23.88,On Time,7.5,Really impressed with the cleanliness and hospitality.,Customer Support,1
2450,Female,Economy,No,54.2,Cancelled,14.1,Everything was perfect!,In-flight Service,1
2451,Female,Economy,Yes,21.05,On Time,9.9,Unhappy with how luggage was handled.,Luggage Handling,0
2452,Male,Economy,No,67.01,On Time,13.9,Very courteous staff and smooth check-in process.,Check-in,1
2453,Male,Business,Yes,26.29,Cancelled,4.9,"Fantastic experience, loved the in-flight entertainment!",Luggage Handling,1
2454,Male,Premium Economy,No,39.63,Delayed,7.0,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2455,Female,Business,No,48.72,Delayed,13.6,Really impressed with the cleanliness and hospitality.,Customer Support,1
2456,Female,Premium Economy,No,59.72,Delayed,11.8,Really impressed with the cleanliness and hospitality.,Ground Service,1
2457,Female,Economy,Yes,53.28,On Time,5.5,Unhappy with how luggage was handled.,Ground Service,0
2458,Female,Business,No,27.43,On Time,3.3,"Seats were cramped, not comfortable.",Luggage Handling,0
2459,Male,Economy,No,37.75,On Time,2.0,Very courteous staff and smooth check-in process.,Boarding,1
2460,Male,Premium Economy,Yes,36.65,Delayed,11.9,Really impressed with the cleanliness and hospitality.,Customer Support,1
2461,Male,Business,No,19.5,Cancelled,6.4,Flight was delayed and no proper updates.,Customer Support,0
2462,Male,Business,Yes,53.59,Cancelled,5.7,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2463,Male,Economy,Yes,61.6,Delayed,1.8,"Seats were cramped, not comfortable.",Customer Support,0
2464,Female,Economy,No,68.62,On Time,14.4,"Nothing special, average service.",Customer Support,0
2465,Male,Premium Economy,Yes,24.79,Delayed,4.7,Boarding was chaotic and unorganized.,In-flight Service,0
2466,Male,Business,No,65.86,Cancelled,7.2,Everything was perfect!,In-flight Service,1
2467,Female,Business,No,23.87,Cancelled,7.9,Unhappy with how luggage was handled.,Customer Support,0
2468,Female,Business,Yes,39.39,On Time,14.0,Everything was perfect!,Luggage Handling,1
2469,Male,Premium Economy,No,20.39,On Time,9.5,Really impressed with the cleanliness and hospitality.,Ground Service,1
2470,Male,Business,No,31.6,Cancelled,3.5,Unhappy with how luggage was handled.,Check-in,0
2471,Female,Premium Economy,Yes,34.34,Cancelled,7.9,Flight was delayed and no proper updates.,Check-in,0
2472,Male,Premium Economy,No,54.64,Cancelled,3.0,Very courteous staff and smooth check-in process.,Boarding,1
2473,Male,Business,No,53.25,Cancelled,11.8,Unhappy with how luggage was handled.,Customer Support,0
2474,Male,Premium Economy,Yes,57.91,Delayed,4.1,Service was decent but food could be better.,Ground Service,0
2475,Female,Business,Yes,47.99,On Time,10.0,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2476,Female,Business,Yes,47.38,Cancelled,13.8,Everything was perfect!,Boarding,1
2477,Female,Economy,Yes,68.85,Delayed,11.0,Unhappy with how luggage was handled.,Ground Service,0
2478,Female,Premium Economy,Yes,52.83,On Time,2.4,"Seats were cramped, not comfortable.",Boarding,0
2479,Female,Business,Yes,35.59,Cancelled,2.0,Very courteous staff and smooth check-in process.,Luggage Handling,1
2480,Male,Premium Economy,Yes,45.2,Delayed,9.0,"Seats were cramped, not comfortable.",Ground Service,0
2481,Male,Economy,No,54.43,Delayed,4.5,Everything was perfect!,In-flight Service,1
2482,Male,Economy,Yes,22.95,On Time,7.2,Boarding was chaotic and unorganized.,Luggage Handling,0
2483,Female,Premium Economy,No,52.41,Cancelled,13.6,Everything was perfect!,Customer Support,1
2484,Female,Economy,Yes,30.93,On Time,3.1,Service was decent but food could be better.,Customer Support,0
2485,Female,Premium Economy,Yes,35.98,On Time,10.0,Boarding was chaotic and unorganized.,Customer Support,0
2486,Male,Premium Economy,No,53.17,Delayed,14.1,Boarding was chaotic and unorganized.,Customer Support,0
2487,Female,Business,No,38.01,Cancelled,10.3,Really impressed with the cleanliness and hospitality.,Ground Service,1
2488,Female,Premium Economy,No,61.63,On Time,4.7,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2489,Female,Economy,Yes,47.03,Cancelled,10.8,Boarding was chaotic and unorganized.,Check-in,0
2490,Male,Business,No,69.37,Cancelled,13.7,Boarding was chaotic and unorganized.,Boarding,0
2491,Male,Premium Economy,No,20.84,Delayed,9.0,"Seats were cramped, not comfortable.",In-flight Service,0
2492,Male,Business,No,51.46,On Time,8.2,Unhappy with how luggage was handled.,Boarding,0
2493,Male,Economy,No,26.16,On Time,14.2,"Seats were cramped, not comfortable.",Luggage Handling,0
2494,Male,Business,No,62.14,On Time,7.9,Very courteous staff and smooth check-in process.,Boarding,1
2495,Female,Business,Yes,62.3,On Time,7.1,Very courteous staff and smooth check-in process.,Boarding,1
2496,Male,Economy,No,63.21,Delayed,12.8,Service was decent but food could be better.,Check-in,0
2497,Male,Premium Economy,Yes,21.89,On Time,11.9,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2498,Male,Premium Economy,No,43.57,Delayed,12.0,Flight was delayed and no proper updates.,Ground Service,0
2499,Male,Business,No,30.53,Delayed,8.6,Boarding was chaotic and unorganized.,Check-in,0
2500,Female,Business,No,68.45,On Time,1.0,"Seats were cramped, not comfortable.",Luggage Handling,0
2501,Male,Business,No,20.62,On Time,14.4,Unhappy with how luggage was handled.,Luggage Handling,0
2502,Male,Economy,Yes,29.58,Cancelled,12.5,Very courteous staff and smooth check-in process.,Check-in,1
2503,Female,Premium Economy,No,51.45,Cancelled,7.7,Boarding was chaotic and unorganized.,Ground Service,0
2504,Male,Business,Yes,38.97,On Time,8.9,Very courteous staff and smooth check-in process.,Check-in,1
2505,Female,Economy,Yes,30.22,Cancelled,14.1,Really impressed with the cleanliness and hospitality.,Customer Support,1
2506,Male,Economy,Yes,41.87,Delayed,6.0,"Seats were cramped, not comfortable.",Boarding,0
2507,Male,Business,No,59.67,Delayed,10.5,Unhappy with how luggage was handled.,In-flight Service,0
2508,Male,Premium Economy,No,41.3,Delayed,6.6,"Seats were cramped, not comfortable.",Ground Service,0
2509,Male,Premium Economy,Yes,62.54,Delayed,9.9,Everything was perfect!,Ground Service,1
2510,Male,Premium Economy,No,41.25,Delayed,14.4,Unhappy with how luggage was handled.,Customer Support,0
2511,Male,Premium Economy,Yes,24.17,Delayed,2.3,Service was decent but food could be better.,Check-in,0
2512,Female,Business,No,43.86,Delayed,8.5,Very courteous staff and smooth check-in process.,Ground Service,1
2513,Male,Business,Yes,51.98,On Time,14.5,"Seats were cramped, not comfortable.",Customer Support,0
2514,Female,Premium Economy,No,23.34,Delayed,2.1,Everything was perfect!,Boarding,1
2515,Female,Business,Yes,39.44,On Time,7.4,Really impressed with the cleanliness and hospitality.,Customer Support,1
2516,Male,Premium Economy,Yes,46.97,Delayed,11.7,Boarding was chaotic and unorganized.,Check-in,0
2517,Male,Premium Economy,No,18.01,On Time,10.1,Service was decent but food could be better.,Boarding,0
2518,Male,Premium Economy,No,22.73,Cancelled,3.5,Really impressed with the cleanliness and hospitality.,In-flight Service,1
2519,Female,Premium Economy,No,49.42,On Time,1.6,Very courteous staff and smooth check-in process.,In-flight Service,1
2520,Female,Economy,Yes,50.19,Cancelled,6.4,Very courteous staff and smooth check-in process.,Check-in,1
2521,Male,Economy,No,33.84,On Time,3.7,"Seats were cramped, not comfortable.",Check-in,0
2522,Female,Business,Yes,44.43,Delayed,10.7,Service was decent but food could be better.,Boarding,0
2523,Female,Premium Economy,Yes,28.76,On Time,13.6,Service was decent but food could be better.,Check-in,0
2524,Female,Premium Economy,No,52.92,Delayed,9.8,Really impressed with the cleanliness and hospitality.,Boarding,1
2525,Female,Premium Economy,Yes,67.42,Cancelled,6.0,Boarding was chaotic and unorganized.,Check-in,0
2526,Female,Economy,Yes,36.89,Delayed,2.2,Flight was delayed and no proper updates.,Check-in,0
2527,Male,Economy,Yes,20.82,Delayed,9.9,Really impressed with the cleanliness and hospitality.,Check-in,1
2528,Male,Premium Economy,Yes,29.59,Cancelled,11.3,Very courteous staff and smooth check-in process.,Luggage Handling,1
2529,Male,Business,No,41.63,On Time,3.0,"Fantastic experience, loved the in-flight entertainment!",Ground Service,1
2530,Male,Economy,Yes,47.13,Delayed,3.7,"Seats were cramped, not comfortable.",Check-in,0
2531,Female,Business,No,50.23,Delayed,11.1,Flight was delayed and no proper updates.,Ground Service,0
2532,Female,Premium Economy,No,42.6,On Time,9.3,Really impressed with the cleanliness and hospitality.,Ground Service,1
2533,Male,Economy,Yes,52.17,Cancelled,7.8,Really impressed with the cleanliness and hospitality.,Boarding,1
2534,Female,Business,Yes,55.23,On Time,1.9,Unhappy with how luggage was handled.,Check-in,0
2535,Female,Premium Economy,No,23.93,Delayed,8.6,Unhappy with how luggage was handled.,In-flight Service,0
2536,Male,Business,Yes,57.48,Cancelled,5.3,Unhappy with how luggage was handled.,Customer Support,0
2537,Female,Premium Economy,Yes,29.53,On Time,8.5,Service was decent but food could be better.,Boarding,0
2538,Female,Economy,No,35.75,Cancelled,12.7,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2539,Male,Business,Yes,61.15,On Time,7.3,"Fantastic experience, loved the in-flight entertainment!",Luggage Handling,1
2540,Female,Business,Yes,68.15,Delayed,14.9,Flight was delayed and no proper updates.,Customer Support,0
2541,Female,Economy,No,33.18,Cancelled,1.5,Service was decent but food could be better.,In-flight Service,0
2542,Male,Premium Economy,Yes,45.14,Delayed,1.8,Boarding was chaotic and unorganized.,In-flight Service,0
2543,Male,Economy,Yes,54.51,Delayed,12.0,Boarding was chaotic and unorganized.,In-flight Service,0
2544,Male,Premium Economy,No,20.38,Cancelled,1.6,Boarding was chaotic and unorganized.,Ground Service,0
2545,Female,Business,Yes,26.54,Cancelled,2.7,Boarding was chaotic and unorganized.,Ground Service,0
2546,Female,Business,No,25.3,On Time,12.3,"Nothing special, average service.",Ground Service,0
2547,Male,Business,Yes,55.28,On Time,10.3,Unhappy with how luggage was handled.,Ground Service,0
2548,Female,Business,No,55.52,On Time,7.4,"Fantastic experience, loved the in-flight entertainment!",Luggage Handling,1
2549,Male,Premium Economy,Yes,23.56,On Time,10.5,Service was decent but food could be better.,Luggage Handling,0
2550,Female,Business,No,49.76,Cancelled,13.2,Really impressed with the cleanliness and hospitality.,Ground Service,1
2551,Female,Premium Economy,Yes,27.75,Cancelled,3.1,Flight was delayed and no proper updates.,Luggage Handling,0
2552,Male,Economy,No,66.37,On Time,9.1,Flight was delayed and no proper updates.,Customer Support,0
2553,Female,Economy,Yes,38.43,Cancelled,13.9,Flight was delayed and no proper updates.,Customer Support,0
